id income student credit_rating buy_computer
1 High True Fair No
2 Low False Excellent No
3 Low True Fair No
4 High False Fair No
5 Low True Excellent Yes
6 High False Fair Yes
7 High True Excellent Yes
8 Low True Fair No
9 Low False Excellent Yes
10 Low True Excellent No
11 High True Fair No
12 Low False Fair No
13 Low True Fair No
14 High False Excellent No
15 Low True Fair Yes
16 High False Excellent Yes
17 High True Excellent No
18 Low True Fair No
19 Low False Excellent Yes
20 Low True Excellent No
21 High False Excellent Yes
21 Low True Excellent Yes
23 High False Excellent No
24 High True Fair No
25 Low False Fair Yes
26 Low True Fair No
27 Low True Fair No
28 Low True Fair Yes
29 Low False Fair No
30 High True Fair Yes
