residual sugar,alcohol,quality
10.6,10.4,Good
1.6,12.4,Good
2,12.5,Good
4.2,12.7,Good
2.2,12.9,Good
1.2,12.8,Good
1.2,12.8,Good
1.7,10.5,Good
2.1,10.7,Good
2.1,10.7,Good
1.4,12.1,Good
1.4,12.1,Good
3.8,12.7,Good
1.1,9.6,Good
2.8,12.6,Good
5,12.3,Good
8.3,12.5,Good
4.8,12.5,Good
7.1,12.1,Good
1.4,12.4,Good
2.2,12.9,Good
11.4,10.5,Good
3.2,12.4,Good
13.3,11,Good
14.5,12.5,Good
1.3,12.4,Good
14.1,8.8,Good
14.1,8.8,Good
1.4,11.1,Good
2.7,12.8,Good
4.3,12.8,Good
2.1,11.9,Good
2.1,11.9,Good
2.1,11.9,Good
1.6,11,Good
1.6,11,Good
1.7,10.4,Good
12.6,8.5,Good
2.2,11.9,Good
2.4,8.8,Good
2.1,12.2,Good
2,10.7,Good
7.05,11.1,Good
3.8,11.2,Good
1.3,11.2,Good
1.3,11,Good
3.8,11.2,Good
2.2,10.4,Good
5.2,12.3,Good
8.4,11.7,Good
2.2,11.1,Good
1,11.7,Good
7.1,11.1,Good
1,11.7,Good
4.2,12.3,Good
8.8,12.7,Good
1.8,12.8,Good
1.8,12.6,Good
7,11.2,Good
1.9,12.2,Good
1.1,12.7,Good
7,11.2,Good
2.4,12,Good
5.4,11.1,Good
2.2,10.9,Good
6.8,10.5,Good
4.1,12.3,Good
9.1,12.7,Good
9,12.3,Good
8.65,12.4,Good
12.8,12.2,Good
6,11.3,Good
6.5,12.2,Good
1,11.5,Good
1.6,11.5,Good
1.6,11.5,Good
1.8,11,Good
1.8,11,Good
9.05,11.3,Good
14.2,8.9,Good
14.2,8.9,Good
14.2,8.9,Good
14.2,8.9,Good
14.2,8.9,Good
14.2,8.9,Good
3.5,12.8,Good
1.9,12.6,Good
4.5,12.3,Good
4.4,10.4,Good
4.4,10.4,Good
2.7,12,Good
1.7,10.7,Good
8.1,10.4,Good
8.1,10.4,Good
1.1,11.2,Good
1.8,11.8,Good
1.8,11.8,Good
1.55,11.9,Good
10.05,11.7,Good
10.05,11.7,Good
10.5,11.6,Good
7.2,10.9,Good
14,11.5,Good
7.2,10.9,Good
3.9,12.6,Good
1.6,12.4,Good
5.15,12.4,Good
5.45,13,Good
1.6,11.9,Good
1.3,11.6,Good
1.6,11.9,Good
10.3,9.8,Good
10.3,9.8,Good
10.3,9.8,Good
1.2,14,Good
2.2,13,Good
0.8,12.1,Good
6.9,11.9,Good
14.8,12,Good
14.8,12,Good
7.6,12.5,Good
6.1,12.5,Good
7.6,12.5,Good
6.6,12.2,Good
7.5,12.4,Good
8.6,12.4,Good
6.4,11,Good
5.5,12.6,Good
4.2,11.8,Good
3.6,12.6,Good
4.6,12.2,Good
2.9,12.9,Good
2.9,12.9,Good
4.7,12.5,Good
4.7,12.5,Good
8.3,12.3,Good
4.7,12.7,Good
4.3,13.1,Good
6,12.1,Good
6,12.1,Good
3.85,11.3,Good
1.1,13.2,Good
3.85,11.3,Good
4,12.6,Good
6.1,13.4,Good
4,12.6,Good
6.4,13.4,Good
6.1,13.4,Good
7.4,11.4,Good
11.4,10.5,Good
2.7,13.2,Good
4.3,13,Good
5.7,12.9,Good
2.7,13.2,Good
4.3,13,Good
1.8,13,Good
9.2,12.5,Good
9.2,12.5,Good
2.1,13.4,Good
2.1,13.4,Good
7.8,11.5,Good
11.3,12.9,Good
14.5,11.5,Good
3.6,12,Good
1,13.1,Good
2.7,13.4,Good
13.9,8.8,Good
13.9,8.8,Good
13.9,8.8,Good
13.9,8.8,Good
13.9,8.8,Good
13.9,8.8,Good
13.9,8.8,Good
2,10.4,Good
13.9,8.8,Good
1.5,13,Good
5,12.4,Good
4.3,12.8,Good
4.2,12.8,Good
2.2,12.8,Good
1.5,12.4,Good
1.5,11.4,Good
2.9,11,Good
2,12.3,Good
1.4,10,Good
1.1,11,Good
1.1,10.9,Good
6.4,12.6,Good
1.4,12.7,Good
1.3,12,Good
1.7,12.6,Good
1.8,12.6,Good
1.7,11.5,Good
1.2,11.4,Good
7.6,9.7,Good
2.8,10.9,Good
7.6,9.7,Good
1.9,10.8,Good
4.6,12,Good
8,11.5,Good
1.5,12.4,Good
1.5,12.4,Good
2.4,12.6,Good
4.55,11.5,Good
1.4,11.2,Good
1.4,11.1,Good
1.4,11.1,Good
1.4,11.1,Good
2.4,11.4,Good
2.1,12.6,Good
1.4,10.9,Good
1.4,10.9,Good
5.7,11,Good
5.7,11,Good
4.7,12.4,Good
14.2,9,Good
14.2,9,Good
14.2,9,Good
14.2,9,Good
7.3,9.8,Good
3.8,11.2,Good
4.9,10.4,Good
2.1,11.5,Good
7.85,11.5,Good
1.1,10.3,Good
1.5,10.2,Good
7.8,9,Good
1.3,11.2,Good
2.1,11.4,Good
6.85,11.9,Good
6.85,11.9,Good
2.3,11.4,Good
3.5,12.3,Good
1.6,12.5,Good
1.6,12.5,Good
1.5,10.4,Good
1.4,10,Good
1.5,10.4,Good
1.4,10,Good
3.2,11.3,Good
1.6,12.5,Good
1.5,10.8,Good
14.9,9.3,Good
14.9,9.3,Good
4,12.8,Good
2.7,12.7,Good
8.3,10.5,Good
2.3,9.9,Good
6.2,12.2,Good
2.3,9.9,Good
1.6,11.6,Good
1.6,10.5,Good
2.7,10.6,Good
1.6,10.5,Good
1.6,10.5,Good
1.5,12.9,Good
4.8,9.6,Good
1.1,12.4,Good
1.6,12.7,Good
1.9,10,Good
1.9,10,Good
9,10.3,Good
1.7,10.2,Good
13.6,9.6,Good
1.2,11.3,Good
1.6,12.1,Good
13.6,9.6,Good
1.6,12.1,Good
1.2,11.3,Good
9.1,9.9,Good
1.4,10.4,Good
2.7,11.6,Good
2.7,12.7,Good
1.9,11.7,Good
2.8,12.7,Good
2.7,11.6,Good
6,12.3,Good
1.6,10.1,Good
1.7,10.8,Good
2.1,10.8,Good
0.9,10.5,Good
1.4,11.5,Good
2.4,11.7,Good
4.7,10.8,Good
1.2,11,Good
14.4,9.1,Good
14.4,9.1,Good
14.4,9.1,Good
14.4,9.1,Good
2.5,11.4,Good
14,12.2,Good
4.75,11.8,Good
4.75,11.8,Good
4.75,11.8,Good
5.5,10.7,Good
2,10.8,Good
2.4,13.9,Good
1.7,10.5,Good
1.7,10.5,Good
1.8,10.2,Good
1.8,10.9,Good
2.8,11.7,Good
6,11.1,Good
3.8,10.8,Good
1.8,12.2,Good
1.2,9.8,Good
1.2,9.8,Good
8.8,9.3,Good
8.8,9.3,Good
5.2,9.8,Good
1.1,9.3,Good
1.1,9.3,Good
15,9.5,Good
15,9.5,Good
7,10,Good
2,10.9,Good
2,10.9,Good
11.4,9.8,Good
1.1,9.1,Good
10.7,10.9,Good
1.2,11,Good
6,12,Good
6.3,12,Good
13.4,8.8,Good
13.4,8.8,Good
1.7,10.8,Good
13.4,8.8,Good
1.7,10.8,Good
1.3,9.5,Good
1.3,9.5,Good
2.1,10.3,Good
10.2,10,Good
14.2,9.1,Good
1.3,9.5,Good
14.4,9,Good
2.2,10,Good
2.2,10,Good
2.6,12.2,Good
2,11,Good
2,11,Good
1.2,11,Good
1.4,12.2,Good
1.2,11,Good
7.9,11,Good
4.7,10.3,Good
1.1,10.2,Good
4.6,9.4,Good
2.9,9.5,Good
5.9,11.9,Good
15.3,9.6,Good
1.6,10,Good
3.5,12.2,Good
8,8.7,Good
5,10.2,Good
0.9,10.2,Good
1.1,10.2,Good
5,12.3,Good
1.9,12,Good
1.6,11.4,Good
1.5,12.3,Good
1.7,12.6,Good
1.9,12,Good
6.7,10.7,Good
6.7,10.7,Good
8.9,12,Good
2.1,10.1,Good
1.8,9.8,Good
1.3,10.4,Good
1.2,10.3,Good
1.7,11.2,Good
1.5,11.4,Good
1.5,11.4,Good
1.5,10.4,Good
5.3,9.3,Good
1.6,10.9,Good
2,11.6,Good
2.6,11.1,Good
6.35,12.6,Good
1.6,11.3,Good
9.1,10.9,Good
3.2,12.7,Good
4.7,9,Good
5.1,10.1,Good
4,10.6,Good
6.7,10.6,Good
5.1,10.1,Good
2.6,14,Good
4.9,11.5,Good
2,12.6,Good
1.7,12.6,Good
2,12.6,Good
1.45,11.4,Good
1.95,12.9,Good
5.85,12,Good
5.3,11.8,Good
7.4,10.2,Good
11.1,9.4,Good
4.1,12.8,Good
5.2,10.7,Good
14.75,9.1,Good
5.2,10.7,Good
14.75,9.1,Good
6.9,10.7,Good
1.5,10.8,Good
6,12.5,Good
2.3,12.3,Good
2.3,12.3,Good
4.5,12.4,Good
5.85,12.6,Good
